fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy,database,legend
Cc1cc(O)cc(O)c1,*Cc1cc(O)cc(O)c1,4,0.1024065540194572,124.052429496,1.4062199999999996,2,2,9,DiaNat-DB,DiaNat-DB = 4 (0.10%)
CCC(O)C(C)C,*CC(C)C(O)C(*)C,4,0.1024065540194572,102.104465068,1.4133,1,1,7,DiaNat-DB,DiaNat-DB = 4 (0.10%)
C1CCNCC1,*N1CCCCC1,4,0.1024065540194572,85.08914935199999,0.7599,1,1,6,DiaNat-DB,DiaNat-DB = 4 (0.10%)
CC(N)C(=O)O,*NC(C)C(=O)O,4,0.1024065540194572,89.047678464,-0.5817999999999999,2,2,6,DiaNat-DB,DiaNat-DB = 4 (0.10%)
CCC=O,*C(C)C=O,4,0.1024065540194572,58.041864812,0.5952999999999999,1,0,4,DiaNat-DB,DiaNat-DB = 4 (0.10%)
Cc1cccc(O)c1C=O,*C(=O)c1c(C)cc(*)cc1O,4,0.1024065540194572,136.052429496,1.5131199999999998,2,1,10,DiaNat-DB,DiaNat-DB = 4 (0.10%)
Cc1cc(O)cc(O)c1C=O,*Oc1cc(C)c(C(*)=O)c(O)c1,4,0.1024065540194572,152.047344116,1.2187199999999998,3,2,11,DiaNat-DB,DiaNat-DB = 4 (0.10%)
C[C]1CC(C)=CC(=O)O1,*C[C]1CC(C)=CC(=O)O1,4,0.1024065540194572,125.060254528,1.43149,2,0,9,DiaNat-DB,DiaNat-DB = 4 (0.10%)
CCC(C)C(N)C=O,*C(=O)C(N)C(C)CC,4,0.1024065540194572,115.099714036,0.5587000000000001,2,1,8,DiaNat-DB,DiaNat-DB = 4 (0.10%)
CCCC,*CCCC,4,0.1024065540194572,58.07825032,1.8064,0,0,4,DiaNat-DB,DiaNat-DB = 4 (0.10%)
