ID,SMILES_chiral,SMILES_no_chiral,Target_1,pIC50_1,Target_category,Dataset,pEC50,Target_2,pIC50_2
CHEMBL3645496,S(=O)(=O)(n1nc2c(c1)CN([C@@]1C[C@](N)C(c3c(F)cc(F)c(F)c3)OC1)C2)C1CC1,S(=O)(=O)(n1nc2c(c1)CN(C1CC(N)C(c3c(F)cc(F)c(F)c3)OC1)C2)C1CC1,Dipeptidyl Peptidase IV (DPP-IV),8.7212467,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3645493,S(=O)(=O)(n1nc2c(c1)CN([C@@]1C[C@](N)C(c3c(F)ccc(F)c3)OC1)C2)C1CCCC1,S(=O)(=O)(n1nc2c(c1)CN(C1CC(N)C(c3c(F)ccc(F)c3)OC1)C2)C1CCCC1,Dipeptidyl Peptidase IV (DPP-IV),8.7958803,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3645497,S(=O)(=O)(n1nc2c(c1)CN([C@@]1C[C@](N)C(c3c(F)ccc(F)c3)OC1)C2)C1CC1,S(=O)(=O)(n1nc2c(c1)CN(C1CC(N)C(c3c(F)ccc(F)c3)OC1)C2)C1CC1,Dipeptidyl Peptidase IV (DPP-IV),9.0,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3645494,S(=O)(=O)(n1nc2c(c1)CN([C@@]1C[C@](N)C(c3c(F)cc(F)c(F)c3)OC1)C2)C1CCCC1,S(=O)(=O)(n1nc2c(c1)CN(C1CC(N)C(c3c(F)cc(F)c(F)c3)OC1)C2)C1CCCC1,Dipeptidyl Peptidase IV (DPP-IV),8.8860569,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3645495,S(=O)(=O)(n1ncc2c1CN([C@@]1C[C@](N)C(c3c(F)ccc(F)c3)OC1)C2)C1CC1,S(=O)(=O)(n1ncc2c1CN(C1CC(N)C(c3c(F)ccc(F)c3)OC1)C2)C1CC1,Dipeptidyl Peptidase IV (DPP-IV),8.7958803,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675618,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC#CC)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC#CC)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),9.4202166,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675619,O=C1N(Cc2ccc([N+]#[C-])cc2)C=2N(c3nc(n(CC#CC)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2ccc([N+]#[C-])cc2)C=2N(c3nc(n(CC#CC)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),8.0,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675620,Fc1c(Cn2c(N3C[C@](N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCC4)cc(F)cc1,Fc1c(Cn2c(N3CC(N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCC4)cc(F)cc1,Dipeptidyl Peptidase IV (DPP-IV),7.3665314,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675621,Fc1cc(Cn2c(N3C[C@](N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCCC4)c(C#N)cc1,Fc1cc(Cn2c(N3CC(N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCCC4)c(C#N)cc1,Dipeptidyl Peptidase IV (DPP-IV),7.004365,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675622,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC#CC)c13)N1C[C@](N)CCC1)CCCN=2,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC#CC)c13)N1CC(N)CCC1)CCCN=2,Dipeptidyl Peptidase IV (DPP-IV),8.8860569,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675623,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(C)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(C)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),6.2684112,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675624,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC=C(C)C)c13)N1C[C@](N)CCC1)CCN=2,O=C1N(Cc2nc(C)c3c(n2)cccc3)C=2N(c3nc(n(CC=C(C)C)c13)N1CC(N)CCC1)CCN=2,Dipeptidyl Peptidase IV (DPP-IV),8.7958803,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
CHEMBL3675625,Fc1cc(Cn2c(N3C[C@](N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCC4)ccc1,Fc1cc(Cn2c(N3CC(N)CCC3)nc3N4C(N(Cc5nc(C)c6c(n5)cccc6)C(=O)c23)=NCC4)ccc1,Dipeptidyl Peptidase IV (DPP-IV),7.7212462,Dipeptidyl Peptidase IV (DPP-IV),ChEMBL,,,
