fragments_h,fragments,count,frequency,MW,CLogP,HBA,HBD,heavy
CCC(C)CC(C)CC(C)C(O)C(C)C,*CC(C)C(O)C(C)CC(C)CC(C)CC,4,0.10240655401945725,214.22966558000002,4.101800000000003,1,1,15
CCC(C)CC(C)CC(C)C(O)C(C)/C=C(\\C)C(O)C(C)C,*CC(C)C(O)/C(C)=C/C(C)C(O)C(C)CC(C)CC(C)CC,4,0.10240655401945725,312.30283052,5.045100000000006,2,2,22
CCC(O)C(C)/C=C(\\C)C=O,*C(C)C(O)C(C)/C=C(\C)C=O,4,0.10240655401945725,156.115029752,1.5386,2,1,11
Oc1cc(O)c2cc(O)c[o+]c2c1,*c1[o+]c2cc(O)cc(O)c2cc1O,4,0.10240655401945725,179.03388512409,1.8306999999999998,3,3,13
CCC(O)C(C)/C=C(\\C)C(O)C(C)/C=C(\\C)C=O,*C(C)C(O)C(C)/C=C(\C)C(O)C(C)/C=C(\C)C=O,4,0.10240655401945725,254.188194692,2.4819000000000004,3,2,18
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,*c1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,4,0.10240655401945725,286.04773804,2.2824000000000004,6,4,21
CCC(O)C(C)/C=C(\\C)C(O)C(C)C,*CC(C)C(O)/C(C)=C/C(C)C(O)C(*)C,4,0.10240655401945725,200.177630008,2.3566000000000003,2,2,14
Cc1cc(O)cc(O)c1,*Cc1cc(O)cc(O)c1,4,0.10240655401945725,124.052429496,1.4062199999999996,2,2,9
CCC(O)C(C)C,*CC(C)C(O)C(*)C,4,0.10240655401945725,102.104465068,1.4133,1,1,7
C1CCNCC1,*N1CCCCC1,4,0.10240655401945725,85.08914935199999,0.7599,1,1,6
CC(N)C(=O)O,*NC(C)C(=O)O,4,0.10240655401945725,89.047678464,-0.5817999999999999,2,2,6
CCC(C)CC(C)CC(C)C(O)C(C)/C=C(\\C)C(O)C(C)/C=C(\\C)C(O)C(C)C,*CC(C)C(O)/C(C)=C/C(C)C(O)/C(C)=C/C(C)C(O)C(C)CC(C)CC(C)CC,4,0.10240655401945725,410.37599545999996,5.988400000000009,3,3,29
CCC=O,*C(C)C=O,4,0.10240655401945725,58.041864812,0.5952999999999999,1,0,4
Cc1cc(OC(=O)c2c(C)cc(O)cc2O)cc(O)c1C=O,*Oc1cc(C)c(C(=O)Oc2cc(C)c(C(*)=O)c(O)c2)c(O)c1,4,0.10240655401945725,302.079038168,2.4519400000000013,6,3,22
Cc1cccc(O)c1C=O,*C(=O)c1c(C)cc(*)cc1O,4,0.10240655401945725,136.052429496,1.5131199999999998,2,1,10
Cc1cc(O)cc(O)c1C=O,*Oc1cc(C)c(C(*)=O)c(O)c1,4,0.10240655401945725,152.047344116,1.2187199999999998,3,2,11
C[C]1CC(C)=CC(=O)O1,*C[C]1CC(C)=CC(=O)O1,4,0.10240655401945725,125.060254528,1.43149,2,0,9
CCC(C)C(N)C=O,*C(=O)C(N)C(C)CC,4,0.10240655401945725,115.099714036,0.5587000000000001,2,1,8
O=Cc1cc(O)c(O)c(O)c1,*C(=O)c1cc(O)c(O)c(O)c1*,4,0.10240655401945725,154.026608672,0.6158999999999999,4,3,11
CCCC,*CCCC,4,0.10240655401945725,58.078250319999995,1.8064,0,0,4
COc1c(O)cc2occc(=O)c2c1O,*c1cc(=O)c2c(O)c(OC)c(O)cc2o1,4,0.10240655401945725,208.037173356,1.2127999999999997,5,2,15
Cc1cc(OC(=O)c2c(C)cccc2O)cc(O)c1C=O,*C(=O)c1c(C)cc(OC(=O)c2c(C)cc(*)cc2O)cc1O,4,0.10240655401945725,286.084123548,2.746340000000001,5,2,21
CC(C)CC(N)C=O,*C(=O)C(N)CC(C)C,4,0.10240655401945725,115.099714036,0.5587000000000001,2,1,8
COc1c(O)ccc(C(C)=O)c1O,*CC(=O)c1ccc(O)c(OC)c1O,3,0.07680491551459294,182.0579088,1.3089999999999997,4,2,13
CC(=O)O,*CC(=O)O,3,0.07680491551459294,60.021129368000004,0.09089999999999993,1,1,4
CC(C)=CCc1c(C)cc(O)cc1O,*Cc1cc(O)cc(O)c1CC=C(C)C,3,0.07680491551459294,192.115029752,2.9149200000000017,2,2,14
OC[C@]1O[CH][C@@](O)[C@](O)[C@]1O,*[C@]1O[C@@](CO)[C@@](O)[C@@](O)[C@]1O,3,0.07680491551459294,159.029348324,-0.58385,5,4,11
O=Cc1ccccc1,*C(=O)c1ccccc1,3,0.07680491551459294,106.041864812,1.4990999999999999,1,0,8
